,audio_filepath,duration,text
0,./dataset/en/clips/common_voice_en_19664034.wav,6.648,"These data components in turn serve as the ""building blocks"" of data exchanges."
1,./dataset/en/clips/common_voice_en_19664035.wav,5.328,The church is unrelated to the Jewish political movement of Zionism.
2,./dataset/en/clips/common_voice_en_19664037.wav,5.496,The following represents architectures which have been utilized at one point or another.
3,./dataset/en/clips/common_voice_en_19664038.wav,5.328,"Additionally, the pulse output can be directed through one of three resonator banks."
4,./dataset/en/clips/common_voice_en_19664040.wav,4.656,The two are robbed by a pickpocket who is losing in gambling.
5,./dataset/en/clips/common_voice_en_19742944.wav,10.296,Its county seat is Phenix City.
6,./dataset/en/clips/common_voice_en_19742945.wav,7.776,"Consequently, the diocese accumulated millions of dollars in debt."
7,./dataset/en/clips/common_voice_en_19742948.wav,7.728,"The song ""Kodachrome"" is named after the Kodak film of the same name."
8,./dataset/en/clips/common_voice_en_19742950.wav,8.04,These mappings are not based on or supported by any medical or scientific evidence.
9,./dataset/en/clips/common_voice_en_19742952.wav,8.448,In its brown form it is sometimes called brown hematite or brown iron ore.
10,./dataset/en/clips/common_voice_en_589230.wav,4.584,What did you think of that trip.
11,./dataset/en/clips/common_voice_en_589234.wav,5.952,Two men spoke in Arabic while having a drink at the bar.
12,./dataset/en/clips/common_voice_en_19645594.wav,5.976,"Initially the class was planned with the ""Invincible""s as the benchmark."
13,./dataset/en/clips/common_voice_en_19645595.wav,6.768,There are also several extrajudicial administrative courts.
14,./dataset/en/clips/common_voice_en_19645596.wav,8.424,It is a platform with a twin stairway facing northwest onto the plaza.
15,./dataset/en/clips/common_voice_en_19645597.wav,6.696,Only one referendum has been held at the national level in Guyana.
16,./dataset/en/clips/common_voice_en_19645598.wav,8.376,"The Luks family eventually moved to Pottsville, in southern Pennsylvania near the coal fields."
17,./dataset/en/clips/common_voice_en_19632902.wav,6.672,Unfortunately the age and state of the remains complicates the process of examining them.
18,./dataset/en/clips/common_voice_en_19632903.wav,7.608,"They follow him to the castle, where Holtz and Steinmuhl interrogate Talbot and Edelmann."
19,./dataset/en/clips/common_voice_en_19632905.wav,6.696,It eventually reached Europe before becoming infused in mainstream pop and dance music worldwide.
20,./dataset/en/clips/common_voice_en_19632907.wav,5.352,"This was actually an internet album, similar to a modern-day mixtape."
21,./dataset/en/clips/common_voice_en_19632908.wav,6.072,The series was developed by Michael Reaves and directed by John Grusd.
22,./dataset/en/clips/common_voice_en_19705534.wav,9.408,The banner colour of this section is khaki.
23,./dataset/en/clips/common_voice_en_19705537.wav,6.624,"He was raised in Ottawa, Ontario with his three brothers."
24,./dataset/en/clips/common_voice_en_19705539.wav,9.816,"Sohmer launched hit series including ""Cheers"", ""Family Ties"", ""The A-Team"" and ""Remington Steele""."
25,./dataset/en/clips/common_voice_en_19705541.wav,8.064,"Periods of remission may occur, during which transfusions and steroid treatments are not required."
26,./dataset/en/clips/common_voice_en_19705542.wav,7.44,"The European Radio Astronomy Club has its headquarters in Mannheim, Germany."
